treated_churn,control_churn,treated_ps,control_ps,distance,treatment_effect
0,0,0.32141131186540095,0.3214388336755824,2.7521810181452278e-05,0
0,0,0.15423667009094102,0.15423863210986238,1.9620189213587214e-06,0
0,0,0.14951496103346498,0.14951890168320703,3.9406497420457764e-06,0
0,0,0.26029244352431496,0.260285236757709,7.2067666059827395e-06,0
0,0,0.41159379618652076,0.4116715659585768,7.776977205603552e-05,0
0,0,0.16389198998593849,0.16389263667107265,6.466851341646596e-07,0
0,0,0.37977657940074117,0.37987091334868256,9.433394794139405e-05,0
0,0,0.2692507798806839,0.26925264520311626,1.865322432348382e-06,0
0,0,0.2996769317751884,0.2996738568110697,3.0749641186655907e-06,0
0,0,0.2945149234406526,0.2945138906342906,1.0328063619891026e-06,0
0,0,0.240055050075816,0.24005420331540658,8.467604094286596e-07,0
0,0,0.28137120276915895,0.28135802875697036,1.3174012188588158e-05,0
0,0,0.20680055213943505,0.20680392907858255,3.3769391475091393e-06,0
1,0,0.2632405081807803,0.2632481369642698,7.628783489477264e-06,1
0,0,0.27443497549107404,0.2744462026645804,1.1227173506378474e-05,0
0,0,0.31940469737771476,0.31938785492123045,1.6842456484311707e-05,0
0,0,0.7844248899386973,0.7929122706483851,0.008487380709687797,0
0,0,0.2549271987850971,0.25492366780633413,3.5309787629889122e-06,0
0,0,0.4507786930950017,0.450991767224203,0.0002130741292012961,0
0,0,0.23228199184958295,0.2322785883414352,3.4035081477590268e-06,0
0,0,0.17699328202577766,0.17697873086077495,1.4551165002707478e-05,0
0,0,0.14677403075465795,0.14678225826459945,8.227509941505229e-06,0
0,0,0.14025614881569304,0.14025298485293794,3.1639627550983374e-06,0
0,0,0.3178055236618016,0.3177766910324371,2.883262936448361e-05,0
0,0,0.2164898266976927,0.2164784659570757,1.1360740617000209e-05,0
0,0,0.182373782102315,0.18236924876238475,4.533339930251623e-06,0
0,0,0.15421126485500405,0.15421216329950216,8.984444981041673e-07,0
0,0,0.18695063029688716,0.1869576412660339,7.010969146736823e-06,0
0,0,0.14947352354175597,0.14946929001823933,4.233523516639082e-06,0
0,0,0.3281837860178027,0.3281715020360314,1.2283981771277208e-05,0
0,0,0.2421329735337453,0.24212323620784426,9.737325901038041e-06,0
0,0,0.3009011582010667,0.30089676773083157,4.39047023514938e-06,0
0,0,0.2659126242752929,0.26591008584680725,2.538428485632238e-06,0
0,0,0.314070077766738,0.31404907192370907,2.1005843028942817e-05,0
0,0,0.3906206464365498,0.3906443624020003,2.371596545047705e-05,0
0,0,0.5483700929704061,0.548373630594406,3.537623999960715e-06,0
0,0,0.23269448061532808,0.2327016530185138,7.172403185734533e-06,0
0,0,0.18856759453148186,0.18857363559140425,6.041059922384795e-06,0
0,0,0.2335562512659549,0.2335671073230949,1.0856057140018471e-05,0
0,0,0.376994018335803,0.3769986741093075,4.655773504502747e-06,0
0,0,0.12606274692944686,0.12605907417672957,3.6727527172875085e-06,0
0,0,0.5006593136135667,0.5006653556473226,6.042033755870868e-06,0
0,0,0.16837050701381978,0.16837572804671708,5.2210328972956965e-06,0
0,0,0.14080362252355533,0.14080411858158517,4.960580298474238e-07,0
0,0,0.2737182006564877,0.2737176209887776,5.796677101099768e-07,0
0,0,0.14827184160724385,0.1482710097994149,8.318078289493158e-07,0
0,0,0.2684602257196565,0.2684471852153971,1.3040504259376196e-05,0
0,0,0.21572592359761167,0.21572107701428028,4.84658333138599e-06,0
